local,idade,ano,genero,media_anos_estudo
Brasil,60 anos ou mais,2017,Total,"6,3"
Nordeste,15 anos ou mais,2017,Total,"8,3"
Nordeste,15 a 17 anos,2017,Total,"8,7"
Nordeste,18 a 29 anos,2017,Total,"10,5"
Nordeste,18 a 24 anos,2017,Total,"10,5"
Nordeste,25 anos ou mais,2017,Total,"7,9"
Nordeste,25 a 39 anos,2017,Total,"9,9"
Nordeste,40 a 59 anos,2017,Total,"7,4"
Nordeste,60 anos ou mais,2017,Total,"4,5"
Ceará,15 anos ou mais,2017,Total,"8,5"
Ceará,15 a 17 anos,2017,Total,"9,1"
Ceará,18 a 29 anos,2017,Total,"10,8"
Ceará,18 a 24 anos,2017,Total,"10,8"
Ceará,25 anos ou mais,2017,Total,"7,9"
Ceará,25 a 39 anos,2017,Total,"10,2"
Ceará,40 a 59 anos,2017,Total,"7,2"
Ceará,60 anos ou mais,2017,Total,"4,6"
Fortaleza,15 anos ou mais,2017,Total,"10,3"
Fortaleza,15 a 17 anos,2017,Total,"9,1"
Fortaleza,18 a 29 anos,2017,Total,"11,2"
Fortaleza,18 a 24 anos,2017,Total,"11,5"
Fortaleza,25 anos ou mais,2017,Total,"10,2"
Fortaleza,25 a 39 anos,2017,Total,"11,5"
Fortaleza,40 a 59 anos,2017,Total,"9,6"
Fortaleza,60 anos ou mais,2017,Total,"8,1"
Brasil,15 anos ou mais,2017,Masc,"9,3"
Brasil,15 a 17 anos,2017,Masc,"8,8"
Brasil,18 a 29 anos,2017,Masc,"10,8"
Brasil,18 a 24 anos,2017,Masc,"10,9"
Brasil,25 anos ou mais,2017,Masc,"9,1"
Brasil,25 a 39 anos,2017,Masc,"10,7"
Brasil,40 a 59 anos,2017,Masc,"8,7"
Brasil,60 anos ou mais,2017,Masc,"6,4"
Nordeste,15 anos ou mais,2017,Masc,"7,9"
Nordeste,15 a 17 anos,2017,Masc,"8,3"
Nordeste,18 a 29 anos,2017,Masc,10
Nordeste,18 a 24 anos,2017,Masc,10
Nordeste,25 anos ou mais,2017,Masc,"7,4"
Nordeste,25 a 39 anos,2017,Masc,"9,4"
Nordeste,40 a 59 anos,2017,Masc,"6,8"
Nordeste,60 anos ou mais,2017,Masc,"4,3"
Ceará,15 anos ou mais,2017,Masc,"8,1"
Ceará,15 a 17 anos,2017,Masc,"8,7"
Ceará,18 a 29 anos,2017,Masc,"10,5"
Ceará,18 a 24 anos,2017,Masc,"10,4"
Ceará,25 anos ou mais,2017,Masc,"7,4"
Ceará,25 a 39 anos,2017,Masc,"9,7"
Ceará,40 a 59 anos,2017,Masc,"6,4"
Ceará,60 anos ou mais,2017,Masc,"4,3"
Fortaleza,15 anos ou mais,2017,Masc,"10,1"
Fortaleza,15 a 17 anos,2017,Masc,"8,7"
Fortaleza,18 a 29 anos,2017,Masc,"11,2"
Fortaleza,18 a 24 anos,2017,Masc,"11,3"
Fortaleza,25 anos ou mais,2017,Masc,10
Fortaleza,25 a 39 anos,2017,Masc,"11,2"
Fortaleza,40 a 59 anos,2017,Masc,"9,4"
Fortaleza,60 anos ou mais,2017,Masc,"8,1"
Brasil,15 anos ou mais,2017,Fem,"9,7"
Brasil,15 a 17 anos,2017,Fem,"9,3"
Brasil,18 a 29 anos,2017,Fem,"11,4"
Brasil,18 a 24 anos,2017,Fem,"11,6"
Brasil,25 anos ou mais,2017,Fem,"9,4"
Brasil,25 a 39 anos,2017,Fem,"11,5"
Brasil,40 a 59 anos,2017,Fem,"9,3"
Brasil,60 anos ou mais,2017,Fem,"6,2"
Nordeste,15 anos ou mais,2017,Fem,"8,7"
Nordeste,15 a 17 anos,2017,Fem,9
Nordeste,18 a 29 anos,2017,Fem,"10,9"
Nordeste,18 a 24 anos,2017,Fem,11
