local,raca_cor,ano,genero,pessoas_nivel_escolaridade,nivel_escolaridade
Nordeste,Total,2022,Fem,8281,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2022,Fem,8782,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2022,Fem,2984,Superior completo
Brasil,Total,2016,Masc,15072,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2016,Masc,24690,Médio completo ou equivalente e superior incompleto
Brasil,Total,2016,Masc,30351,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2016,Masc,8565,Superior completo
Brasil,Total,2017,Masc,15123,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2017,Masc,25570,Médio completo ou equivalente e superior incompleto
Brasil,Total,2017,Masc,30081,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2017,Masc,8811,Superior completo
Brasil,Total,2018,Masc,14809,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2018,Masc,26423,Médio completo ou equivalente e superior incompleto
Brasil,Total,2018,Masc,29716,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2018,Masc,9501,Superior completo
Brasil,Total,2019,Masc,14835,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2019,Masc,27404,Médio completo ou equivalente e superior incompleto
Brasil,Total,2019,Masc,28949,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2019,Masc,10111,Superior completo
Brasil,Total,2022,Masc,15033,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2022,Masc,29750,Médio completo ou equivalente e superior incompleto
Brasil,Total,2022,Masc,27312,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2022,Masc,11560,Superior completo
Ceará,Total,2016,Masc,648,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2016,Masc,930,Médio completo ou equivalente e superior incompleto
Ceará,Total,2016,Masc,1609,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2016,Masc,167,Superior completo
Ceará,Total,2017,Masc,650,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2017,Masc,992,Médio completo ou equivalente e superior incompleto
Ceará,Total,2017,Masc,1601,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2017,Masc,208,Superior completo
Ceará,Total,2018,Masc,672,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2018,Masc,1046,Médio completo ou equivalente e superior incompleto
Ceará,Total,2018,Masc,1506,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2018,Masc,257,Superior completo
Ceará,Total,2019,Masc,646,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2019,Masc,1058,Médio completo ou equivalente e superior incompleto
Ceará,Total,2019,Masc,1514,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2019,Masc,272,Superior completo
Ceará,Total,2022,Masc,657,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2022,Masc,1240,Médio completo ou equivalente e superior incompleto
Ceará,Total,2022,Masc,1432,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2022,Masc,306,Superior completo
Fortaleza,Total,2016,Masc,193,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2016,Masc,378,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2016,Masc,294,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2016,Masc,101,Superior completo
Fortaleza,Total,2017,Masc,187,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2017,Masc,378,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2017,Masc,299,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2017,Masc,128,Superior completo
Fortaleza,Total,2018,Masc,194,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2018,Masc,407,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2018,Masc,274,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2018,Masc,151,Superior completo
Fortaleza,Total,2019,Masc,168,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2019,Masc,411,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2019,Masc,277,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2019,Masc,162,Superior completo
Fortaleza,Total,2022,Masc,192,Fundamental completo e médio incompleto ou equivalente
