Local,raca_cor,ano,mortalidade_materna
Nordeste,Total,2009,"72,94"
Nordeste,Total,2010,"71,09"
Nordeste,Total,2011,"68,98"
Nordeste,Total,2012,"65,58"
Nordeste,Total,2013,"75,11"
Nordeste,Total,2014,"71,30"
Nordeste,Total,2015,"68,53"
Nordeste,Total,2016,"67,58"
Nordeste,Total,2017,"65,83"
Nordeste,Total,2018,"62,74"
Nordeste,Total,2019,"59,36"
Nordeste,Total,2020,"85,90"
Nordeste,Total,2021,"109,39"
Nordeste,Total, Total período,"62,62"
Brasil,Total,2022,"53,48"
Ceará,Total,2022,"56,10"
Fortaleza,Total,2022,"26,96"
Nordeste,Total,2022,"60,65"
