local,ano,genero,raça,nível_ensino,rend_real_habitual
Fortaleza,2013,Homem,Branca,Superior completo,"R$ 10.680,89"
Fortaleza,2013,Homem,Parda,Superior completo,"R$ 8.125,65"
Fortaleza,2013,Homem,Preta,Superior completo,"R$ 2.959,69"
Fortaleza,2013,Mulher,Branca,Superior completo,"R$ 6.176,56"
Fortaleza,2013,Mulher,Outros,Superior completo,"R$ 3.537,67"
Fortaleza,2013,Mulher,Parda,Superior completo,"R$ 4.735,64"
Fortaleza,2013,Mulher,Preta,Superior completo,"R$ 1.183,87"
Fortaleza,2014,Homem,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 2.602,67"
Fortaleza,2014,Homem,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 1.154,68"
Fortaleza,2014,Homem,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 1.311,76"
Fortaleza,2014,Mulher,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 1.245,46"
Fortaleza,2014,Mulher,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 909,27"
Fortaleza,2014,Mulher,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 1.994,54"
Fortaleza,2014,Homem,Branca,Fundamental incompleto ou equivalente,"R$ 1.626,02"
Fortaleza,2014,Homem,Outros,Fundamental incompleto ou equivalente,"R$ 1.434,44"
Fortaleza,2014,Homem,Parda,Fundamental incompleto ou equivalente,"R$ 1.896,66"
Fortaleza,2014,Homem,Preta,Fundamental incompleto ou equivalente,"R$ 2.218,99"
Fortaleza,2014,Mulher,Branca,Fundamental incompleto ou equivalente,"R$ 1.191,92"
Fortaleza,2014,Mulher,Parda,Fundamental incompleto ou equivalente,"R$ 1.166,10"
Fortaleza,2014,Mulher,Preta,Fundamental incompleto ou equivalente,"R$ 1.032,67"
Fortaleza,2014,Homem,Branca,Fundamental completo ou equivalente,"R$ 2.137,93"
Fortaleza,2014,Homem,Parda,Fundamental completo ou equivalente,"R$ 1.856,59"
Fortaleza,2014,Homem,Preta,Fundamental completo ou equivalente,"R$ 2.127,64"
Fortaleza,2014,Mulher,Branca,Fundamental completo ou equivalente,"R$ 1.434,55"
Fortaleza,2014,Mulher,Parda,Fundamental completo ou equivalente,"R$ 1.250,98"
Fortaleza,2014,Mulher,Preta,Fundamental completo ou equivalente,"R$ 807,84"
Fortaleza,2014,Homem,Branca,Médio incompleto ou equivalente,"R$ 2.384,19"
Fortaleza,2014,Homem,Parda,Médio incompleto ou equivalente,"R$ 1.673,84"
Fortaleza,2014,Homem,Preta,Médio incompleto ou equivalente,"R$ 1.426,54"
