local,raca_cor,ano,genero,idade,total_desocupacao
Brasil,Branca,2017,Masc,20-29,765625
Brasil,Branca,2017,Masc,30-39,413442
Brasil,Branca,2017,Masc,40-49,280677
Brasil,Branca,2017,Masc,50-59,233451
Brasil,Branca,2017,Masc,60-65,63765
Brasil,Branca,2017,Masc,66+,21089
Brasil,Branca,2017,Fem,14-19,447027
Brasil,Branca,2017,Fem,20-29,896750
Brasil,Branca,2017,Fem,30-39,552888
Brasil,Branca,2017,Fem,40-49,339336
Brasil,Branca,2017,Fem,50-59,176658
Brasil,Branca,2017,Fem,60-65,30506
Brasil,Branca,2017,Fem,66+,11482
Brasil,Branca,2017,Masc,Total,2220663
Brasil,Branca,2017,Fem,Total,2454647
Brasil,Branca,2017,Total,14-19,889642
Brasil,Branca,2017,Total,20-29,1662375
Brasil,Branca,2017,Total,30-39,966330
Brasil,Branca,2017,Total,40-49,620013
Brasil,Branca,2017,Total,50-59,410108
Brasil,Branca,2017,Total,60-65,94271
Brasil,Branca,2017,Total,66+,32571
Brasil,Branca,2018,Total,Total,4417229
Brasil,Branca,2018,Masc,14-19,428388
Brasil,Branca,2018,Masc,20-29,754659
Brasil,Branca,2018,Masc,30-39,359579
Brasil,Branca,2018,Masc,40-49,268337
Brasil,Branca,2018,Masc,50-59,192256
Brasil,Branca,2018,Masc,60-65,57230
Brasil,Branca,2018,Masc,66+,18227
Brasil,Branca,2018,Fem,14-19,403185
Brasil,Branca,2018,Fem,20-29,867909
Brasil,Branca,2018,Fem,30-39,506204
Brasil,Branca,2018,Fem,40-49,352707
Brasil,Branca,2018,Fem,50-59,177291
Brasil,Branca,2018,Fem,60-65,21552
Brasil,Branca,2018,Fem,66+,9703
Brasil,Branca,2018,Masc,Total,2078677
Brasil,Branca,2018,Fem,Total,2338552
Brasil,Branca,2018,Total,14-19,831572
Brasil,Branca,2018,Total,20-29,1622568
Brasil,Branca,2018,Total,30-39,865783
Brasil,Branca,2018,Total,40-49,621045
Brasil,Branca,2018,Total,50-59,369548
Brasil,Branca,2018,Total,60-65,78783
Brasil,Branca,2018,Total,66+,27930
