local,raca_cor,ano,genero,domestico_cuidado_media_horas
Fortaleza,Preta,2017,Fem,"22,1"
Fortaleza,Parda,2017,Total,"16,0"
Fortaleza,Preta,2017,Total,"18,3"
Fortaleza,Branca,2018,Total,"13,6"
Fortaleza,Branca,2018,Fem,"16,3"
Fortaleza,Branca,2018,Masc,"10,3"
Brasil,Total,2018,Total,"16,8"
Brasil,Total,2018,Fem,"21,5"
Brasil,Total,2018,Masc,"10,9"
Ceará,Total,2018,Total,"15,9"
Ceará,Total,2018,Fem,"20,4"
Ceará,Total,2018,Masc,"10,0"
Fortaleza,Total,2018,Total,"13,3"
Fortaleza,Total,2018,Fem,"16,3"
Fortaleza,Total,2018,Masc,"9,7"
Nordeste,Total,2018,Total,"17,1"
Nordeste,Total,2018,Fem,"22,1"
Nordeste,Total,2018,Masc,"10,4"
Brasil,Branca,2019,Total,"16,4"
Brasil,Branca,2019,Fem,"20,8"
Brasil,Branca,2019,Masc,"10,9"
Ceará,Branca,2019,Total,"16,3"
Ceará,Branca,2019,Fem,"20,7"
Ceará,Branca,2019,Masc,"10,1"
Fortaleza,Parda,2018,Masc,"9,4"
Fortaleza,Preta,2018,Masc,"10,2"
Fortaleza,Parda,2018,Fem,"16,2"
Nordeste,Branca,2019,Total,"16,7"
Nordeste,Branca,2019,Fem,"21,2"
Nordeste,Branca,2019,Masc,"10,2"
Fortaleza,Preta,2018,Fem,"17,3"
Fortaleza,Parda,2018,Total,"13,1"
Fortaleza,Preta,2018,Total,"13,7"
Fortaleza,Parda,2019,Masc,"10,5"
Fortaleza,Preta,2019,Masc,"11,5"
Fortaleza,Branca,2019,Total,"15,2"
Fortaleza,Branca,2019,Fem,"19,2"
Fortaleza,Branca,2019,Masc,"10,2"
Fortaleza,Parda,2019,Fem,"20,4"
Fortaleza,Preta,2019,Fem,"18,8"
Fortaleza,Parda,2019,Total,"16,1"
Fortaleza,Preta,2019,Total,"15,3"
Fortaleza,Parda,2022,Masc,"12,7"
Fortaleza,Preta,2022,Masc,"15,5"
Fortaleza,Parda,2022,Fem,"23,5"
Fortaleza,Preta,2022,Fem,"24,4"
Fortaleza,Parda,2022,Total,"19,2"
Fortaleza,Preta,2022,Total,"20,2"
Nordeste,Parda,2016,Masc,"11,0"
Nordeste,Preta,2016,Masc,"10,6"
Nordeste,Parda,2017,Masc,"10,8"
Nordeste,Preta,2017,Masc,"11,0"
Nordeste,Parda,2018,Masc,"10,4"
Nordeste,Preta,2018,Masc,"10,7"
Brasil,Total,2019,Total,"16,8"
Brasil,Total,2019,Fem,"21,6"
Brasil,Total,2019,Masc,"11,0"
Ceará,Total,2019,Total,"17,2"
Ceará,Total,2019,Fem,"22,1"
Ceará,Total,2019,Masc,"10,2"
Fortaleza,Total,2019,Total,"15,8"
Fortaleza,Total,2019,Fem,"20,0"
Fortaleza,Total,2019,Masc,"10,5"
Nordeste,Total,2019,Total,"17,1"
Nordeste,Total,2019,Fem,"22,0"
Nordeste,Total,2019,Masc,"10,5"
Brasil,Branca,2022,Total,"16,5"
Brasil,Branca,2022,Fem,"20,4"
Brasil,Branca,2022,Masc,"11,7"
Ceará,Branca,2022,Total,"18,5"
Ceará,Branca,2022,Fem,"23,0"
Ceará,Branca,2022,Masc,"12,2"
Fortaleza,Branca,2022,Total,"17,0"
Fortaleza,Branca,2022,Fem,"21,2"
Fortaleza,Branca,2022,Masc,"11,7"
Nordeste,Branca,2022,Total,"18,2"
Nordeste,Branca,2022,Fem,"22,7"
Nordeste,Branca,2022,Masc,"11,7"
Nordeste,Parda,2019,Masc,"10,5"
Nordeste,Preta,2019,Masc,"10,6"
Nordeste,Parda,2022,Masc,"11,8"
Nordeste,Preta,2022,Masc,"11,9"
Nordeste,Parda,2016,Fem,"22,2"
Nordeste,Preta,2016,Fem,"21,9"
Nordeste,Parda,2017,Fem,"22,2"
Nordeste,Preta,2017,Fem,"22,5"
Nordeste,Parda,2018,Fem,"22,4"
Nordeste,Preta,2018,Fem,"22,0"
Nordeste,Parda,2019,Fem,"22,3"
Nordeste,Preta,2019,Fem,"21,5"
Nordeste,Parda,2022,Fem,"23,8"
Nordeste,Preta,2022,Fem,"23,3"
Nordeste,Parda,2016,Total,"17,7"
Nordeste,Preta,2016,Total,"17,1"
Nordeste,Parda,2017,Total,"17,4"
